District,City,Town,EnergyCertificate,Floor,Parking,ConstructionYear,TotalArea,Garage,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Price
0,4,4,4,4.0,3.0,2023.0,146.0,1.1860649819494584,2.0,2.309241877256318,146.0,1.0,445200.0
0,4,4,4,4.0,3.0,2023.0,209.0,1.1860649819494584,3.0,2.309241877256318,209.0,1.0,609500.0
0,6,8,1,1.0,1.0,2023.0,103.0,1.1860649819494584,2.0,2.309241877256318,103.0,3.0,650000.0
0,6,8,1,1.0,0.0,2000.0,87.0,1.1860649819494584,1.0,2.309241877256318,70.0,1.0,8000.0
0,3,3,4,5.0,1.0,2023.0,88.0,1.1860649819494584,2.0,2.309241877256318,88.0,2.0,262500.0
0,3,3,4,3.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,372500.0
0,3,3,4,7.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,382500.0
0,4,4,0,1.0,3.0,2023.0,226.0,1.1860649819494584,3.0,2.309241877256318,226.0,1.0,609500.0
0,6,8,1,7.0,0.0,2000.0,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,6000.0
0,3,3,4,9.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,387500.0
0,3,3,4,0.0,1.0,2023.0,162.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,362500.0
0,9,12,2,5.0,1.0,1999.0,53.0,1.1860649819494584,1.0,2.309241877256318,53.0,1.0,185000.0
0,6,8,1,5.0,1.0,2023.0,91.0,1.1860649819494584,2.0,2.309241877256318,91.0,1.8961387800783436,655000.0
0,1,1,7,3.0,0.0,2008.0,56.0,1.1860649819494584,1.0,2.309241877256318,56.0,1.8961387800783436,155000.0
0,6,11,5,2.0,3.0,2023.0,234.0,1.1860649819494584,3.0,2.309241877256318,234.0,1.8961387800783436,550000.0
0,3,3,4,2.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,367500.0
0,3,3,3,1.0,0.0,1985.0,1000.0,1.1860649819494584,1.0,2.309241877256318,50.0,1.0,229000.0
0,6,8,1,4.0,0.0,1994.0,71.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,297000.0
